#name	ftp_path	organism	assembly_level
A_amb_GCF_009729015_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/729/015/GCF_009729015.1_ASM972901v1	Acidianus ambivalens	Complete Genome
A_bri_GCF_003201835_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/201/835/GCF_003201835.2_ASM320183v2	Acidianus brierleyi	Complete Genome
A_hos_W1_GCF_000213215_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/213/215/GCF_000213215.1_ASM21321v1	Acidianus hospitalis	Complete Genome
A_man_GCF_002116695_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/116/695/GCF_002116695.1_ASM211669v1	Acidianus manzaensis	Complete Genome
A_sulfidiv_JP7_GCF_003201765_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/201/765/GCF_003201765.2_ASM320176v2	Acidianus sulfidivorans	Complete Genome
Halad_pal_GCF_020700235_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/700/235/GCF_020700235.1_ASM2070023v1	Haladaptatus pallidirubidus	Complete Genome
Halal_jeo_B3_GCF_000196895_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/895/GCF_000196895.1_ASM19689v1	Halalkalicoccus jeotgali	Complete Genome
Halan_sulfu_GCF_001011115_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/011/115/GCF_001011115.1_ASM101111v1	Halanaeroarchaeum sulfurireducens	Complete Genome
Halan_sulfu_GCF_001305655_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/305/655/GCF_001305655.1_ASM130565v1	Halanaeroarchaeum sulfurireducens	Complete Genome
Halap_des_GCF_017094445_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/094/445/GCF_017094445.1_ASM1709444v1	Halapricum desulfuricans	Complete Genome
Halap_des_GCF_017094465_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/094/465/GCF_017094465.1_ASM1709446v1	Halapricum desulfuricans	Complete Genome
Halap_des_GCF_017094505_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/094/505/GCF_017094505.1_ASM1709450v1	Halapricum desulfuricans	Complete Genome
Halap_des_GCF_017094525_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/094/525/GCF_017094525.1_ASM1709452v1	Halapricum desulfuricans	Complete Genome
Halap_salinum_GCF_004799665_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/799/665/GCF_004799665.1_ASM479966v1	Halapricum salinum	Complete Genome
Haloa_his_ATCC_33960_GCF_000223905_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/223/905/GCF_000223905.1_ASM22390v1	Haloarcula hispanica	Complete Genome
Haloa_his_N601_GCF_000504565_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/504/565/GCF_000504565.1_ASM50456v2	Haloarcula hispanica	Complete Genome
