#name	ftp_path	organism	assembly_level
A_aculeati_CBS_121060	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/184/765/GCF_003184765.1_Aspacu1	Aspergillus aculeatinus	Scaffold
A_aculeatus_ATCC_16872	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/890/905/GCF_001890905.1_Aspac1	Aspergillus aculeatus	Scaffold
A_awa_var_piceus	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/415/GCA_001599415.1_JCM_22320_assembly_v001	Aspergillus awamori	Scaffold
A_bras_CBS_101740	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/889/945/GCA_001889945.1_Aspbr1	Aspergillus brasiliensis	Scaffold
A_bru_CBS_621_78	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/184/695/GCF_003184695.1_Aspbru1	Aspergillus brunneoviolaceus	Scaffold
A_camp_IBT_28561	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/847/485/GCF_002847485.1_Aspcam1	Aspergillus campestris	Contig
A_carb_ITEM_5010	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/990/825/GCA_001990825.1_Aspca3	Aspergillus carbonarius	Scaffold
A_cla_NRRL_1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/715/GCF_000002715.2_ASM271v1	Aspergillus clavatus	Scaffold
A_cos_CBS_115574	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/184/835/GCF_003184835.1_Aspcos1	Aspergillus costaricaensis	Scaffold
A_ell_CBS_707_79	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/184/645/GCA_003184645.1_Aspell1	Aspergillus ellipticus	Scaffold
A_euc_CBS_122712	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/184/535/GCF_003184535.1_Aspeuc1	Aspergillus eucalypticola	Contig
A_fij_CBS_313_89	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/184/825/GCA_003184825.1_Aspfij1	Aspergillus fijiensis	Scaffold
