#name	ftp_path	organism	assembly_level
M_can_CIPT_140010059	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/253/375/GCF_000253375.1_ASM25337v1	Mycobacterium canettii	Complete Genome
M_can_CIPT_140060008	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/328/805/GCF_000328805.1_ASM32880v1	Mycobacterium canettii	Chromosome
M_can_CIPT_140070002	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/343/875/GCF_000343875.1_ASM34387v1	Mycobacterium canettii	Contig
M_can_CIPT_140070005	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/343/895/GCF_000343895.1_ASM34389v1	Mycobacterium canettii	Contig
M_can_CIPT_140070007	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/343/935/GCF_000343935.1_ASM34393v1	Mycobacterium canettii	Contig
M_can_CIPT_140070008	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/328/845/GCF_000328845.1_ASM32884v1	Mycobacterium canettii	Chromosome
M_can_CIPT_140070010	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/328/785/GCF_000328785.1_ASM32878v1	Mycobacterium canettii	Chromosome
M_can_CIPT_140070013	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/343/915/GCF_000343915.1_ASM34391v1	Mycobacterium canettii	Contig
M_can_CIPT_140070017	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/328/825/GCF_000328825.1_ASM32882v1	Mycobacterium canettii	Chromosome
M_ory_112400015	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/353/205/GCF_000353205.1_Morygis1.0	Mycobacterium orygis	Contig
M_tub_variant_africanum	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/593/225/GCF_001593225.1_ASM159322v1	Mycobacterium tuberculosis	Chromosome
M_tub_variant_africanum_GM041182	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/253/355/GCF_000253355.1_ASM25335v1	Mycobacterium tuberculosis	Complete Genome
M_tub_variant_africanum_K85	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/159/775/GCF_000159775.1_ASM15977v1	Mycobacterium tuberculosis	Scaffold
