#name	ftp_path	organism	assembly_level
A_ast	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/826/245/GCA_000826245.1_Acanthamoeba_astronyxis	Acanthamoeba astronyxis	Scaffold
A_cas	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/193/105/GCA_000193105.1_Acas_2.0	Acanthamoeba castellanii	Scaffold
A_cas_Neff	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/313/135/GCF_000313135.1_Acastellanii.strNEFF_v1	Acanthamoeba castellanii	Scaffold
A_com	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/025/285/GCA_002025285.1_ASM202528v1	Acanthamoeba comandoni	Contig
A_cul	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/826/265/GCA_000826265.1_Acanthamoeba_culbertsoni_genome_assembly	Acanthamoeba culbertsoni	Scaffold
A_divi	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/826/405/GCA_000826405.1_Acanthamoeba_divionensis	Acanthamoeba divionensis	Scaffold
A_hea	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/826/305/GCA_000826305.1_Acanthamoeba_healyi	Acanthamoeba healyi	Scaffold
A_len	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/826/285/GCA_000826285.1_Acanthamoeba_lenticulata	Acanthamoeba lenticulata	Scaffold
A_lug	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/826/425/GCA_000826425.1_Acanthamoeba_lugdunensis	Acanthamoeba lugdunensis	Scaffold
A_mau	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/826/465/GCA_000826465.1_Acanthamoeba_mauritaniensis	Acanthamoeba mauritaniensis	Scaffold
A_pale	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/826/325/GCA_000826325.1_Acanthamoeba_palestinensis	Acanthamoeba palestinensis	Scaffold
A_pea	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/826/505/GCA_000826505.1_Acanthamoeba_pearcei	Acanthamoeba pearcei	Scaffold
A_pol	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/826/345/GCA_000826345.1_Acanthamoeba_polyphaga	Acanthamoeba polyphaga	Scaffold
A_qui	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/826/445/GCA_000826445.1_Acanthamoeba_quina	Acanthamoeba quina	Scaffold
A_rhy	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/826/385/GCA_000826385.1_Acanthamoeba_rhysodes	Acanthamoeba rhysodes	Scaffold
A_roy	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/826/365/GCA_000826365.1_Acanthamoeba_royreba	Acanthamoeba royreba	Scaffold
Ba_big	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/981/445/GCF_000981445.1_Bbig001	Babesia bigemina	Chromosome
#Ba_bov	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/165/395/GCA_000165395.1_ASM16539v1	Babesia bovis	Chromosome
Ba_bov_T2Bo	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/395/GCF_000165395.1_ASM16539v1	Babesia bovis	Chromosome
Ba_dive	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/077/455/GCA_001077455.2_ASM107745v2	Babesia divergens	Scaffold
Ba_mic	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/650/055/GCA_001650055.1_ASM165005v1	Babesia microti	Contig
Ba_mic_RI	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/691/945/GCF_000691945.2_ASM69194v2	Babesia microti	Chromosome
Ba_ovata	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/897/235/GCF_002897235.1_Bovata_7.1	Babesia ovata	Contig
Ba_sp_X	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/095/265/GCF_002095265.1_B_xinjiang1.0	Babesia sp. Xinjiang	Scaffold
Ph_bet		Phytophthora betacei	Contig
Bl_hom	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/665/GCF_000151665.1_ASM15166v1	Blastocystis hominis	Scaffold
Bl_sp_subtype_1_ATCC_50177_Nand_II	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/651/215/GCA_001651215.1_ASM165121v1	Blastocystis sp. subtype 1	Scaffold
Bl_sp_subtype_2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/963/365/GCA_000963365.1_ASM96336v1	Blastocystis sp. subtype 2	Scaffold
Bl_sp_subtype_3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/963/385/GCA_000963385.1_ASM96338v1	Blastocystis sp. subtype 3	Scaffold
Bl_sp_subtype_4	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/743/755/GCF_000743755.1_ASM74375v1	Blastocystis sp. subtype 4	Scaffold
Bl_sp_subtype_6	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/963/415/GCA_000963415.1_ASM96341v1	Blastocystis sp. subtype 6	Scaffold
Bl_sp_subtype_8	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/963/455/GCA_000963455.1_ASM96345v1	Blastocystis sp. subtype 8	Scaffold
Bl_sp_subtype_9	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/963/465/GCA_000963465.1_ASM96346v1	Blastocystis sp. subtype 9	Scaffold
Cri_aca	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/482/105/GCA_000482105.1_Caca_1.0	Crithidia acanthocephali	Contig
Cri_bom	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/216/585/GCA_002216585.1_ASM221658v1	Crithidia bombi	Scaffold
Cri_exp	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/240/875/GCA_900240875.1_crithidia-expoeki.GDC.2015.v1	Crithidia expoeki	Contig
Cri_fas	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/331/325/GCA_000331325.2_Crithidia_fasciculata-14.0	Crithidia fasciculata	Chromosome
Cri_mell	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/216/535/GCA_002216535.1_ASM221653v1	Crithidia mellificae	Scaffold
Cry_and	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/835/725/GCA_001835725.1_ASM183572v1	Cryptosporidium andersoni	Scaffold
Cry_bai	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/593/455/GCA_001593455.1_CryBaiTAMU-09Q1-1.0	Cryptosporidium baileyi	Contig
Cry_bov	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/768/925/GCA_009768925.1_ASM976892v1	Cryptosporidium bovis	Scaffold
Cry_cun	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/337/835/GCA_004337835.1_UKCU2.v0	Cryptosporidium cuniculus	Scaffold
Cry_hom	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/223/825/GCA_002223825.1_C.hominis.v1	Cryptosporidium hominis	Chromosome
Cry_hom_TU502	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/425/GCF_000006425.1_ASM642v1	Cryptosporidium hominis	Scaffold
Cry_mele	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/337/925/GCA_004337925.1_UKMEL4.v0	Cryptosporidium meleagridis	Scaffold
Cry_mur_RN66	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/515/GCF_000006515.1_JCVI_cmg_v1.0	Cryptosporidium muris	Scaffold
Cry_parvum	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/305/335/GCA_001305335.1_ASM130533v1	Cryptosporidium parvum	Scaffold
Cry_parvum_Iowa_II	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/345/GCF_000165345.1_ASM16534v1	Cryptosporidium parvum	Chromosome
Cry_rya	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/792/415/GCA_009792415.1_ASM979241v1	Cryptosporidium ryanae	Scaffold
Cry_sp_3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/936/735/GCA_004936735.1_ASM493673v1	Cryptosporidium sp. 37763	Scaffold
Cry_sp_c	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/831/705/GCA_000831705.1_ASM83170v1	Cryptosporidium sp. chipmunk LX-2015	Contig
Cry_tyz	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/210/665/GCA_007210665.1_Ctyz_UGA_55	Cryptosporidium tyzzeri	Scaffold
Cry_ubi	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/865/345/GCF_001865345.1_ASM186534v1	Cryptosporidium ubiquitum	Scaffold
Cry_via	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/337/795/GCA_004337795.1_ABER_CVIA_1.0	Cryptosporidium viatorum	Scaffold
D_citrin	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/286/055/GCA_000286055.1_Dcit_1.0	Dictyostelium citrinum	Scaffold
D_disc_AX4	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/695/GCF_000004695.1_dicty_2.7	Dictyostelium discoideum	Chromosome
D_fir	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/485/GCA_000277485.1_ASM27748v1	Dictyostelium firmibasis	Scaffold
D_inter	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/465/GCA_000277465.1_ASM27746v1	Dictyostelium intermedium	Scaffold
D_pur	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/190/715/GCF_000190715.1_v1.0	Dictyostelium purpureum	Scaffold
Ei_ace	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/425/GCF_000499425.1_EAH001	Eimeria acervulina	Scaffold
Ei_brun	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/499/725/GCA_000499725.1_EBH001	Eimeria brunetti	Scaffold
Ei_falcif	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/271/815/GCA_002271815.1_ASM227181v1	Eimeria falciformis	Scaffold
Ei_max	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/605/GCF_000499605.1_EMW001	Eimeria maxima	Scaffold
Ei_mit	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/745/GCF_000499745.1_EMH001	Eimeria mitis	Scaffold
Ei_nec	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/385/GCF_000499385.1_ENH001	Eimeria necatrix	Scaffold
Ei_nie	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/826/945/GCA_000826945.1_ASM82694v1	Eimeria nieschulzi	Scaffold
Ei_pra	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/499/445/GCA_000499445.1_EPH001	Eimeria praecox	Scaffold
Ei_ten	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/545/GCF_000499545.2_ETH001	Eimeria tenella	Scaffold
En_disp_SAW760	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/209/125/GCF_000209125.1_JCVI_EDISG_1.0	Entamoeba dispar	Scaffold
En_his	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/662/325/GCA_001662325.1_Ehistolytica_2016	Entamoeba histolytica	Contig
En_his_HM_1_IMSS	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/208/925/GCF_000208925.1_JCVI_ESG2_1.0	Entamoeba histolytica	Scaffold
En_his_HM_1_IMSS_A	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/365/475/GCA_000365475.1_EHA_CA_v1	Entamoeba histolytica	Scaffold
En_his_HM_1_IMSS_B	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/344/925/GCA_000344925.1_EHA_CB_v1	Entamoeba histolytica	Scaffold
En_his_HM_3_IMSS	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/346/345/GCA_000346345.1_EHA.strHM3_v1	Entamoeba histolytica	Scaffold
En_his_KU27	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/338/855/GCA_000338855.1_EHA_ku27_v1	Entamoeba histolytica	Scaffold
En_inv_IP1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/330/505/GCF_000330505.1_EIA2_v2	Entamoeba invadens	Scaffold
En_mos	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/914/575/GCA_002914575.1_ASM291457v1	Entamoeba moshkovskii	Scaffold
En_nut_P19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/257/125/GCF_000257125.1_ENU1_v1	Entamoeba nuttalli	Scaffold
G_intes	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/435/GCA_000002435.2_UU_WB_2.1	Giardia intestinalis	Chromosome
G_intes_assemblage_A	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/493/575/GCA_001493575.1_GIAS175	Giardia intestinalis	Contig
G_intes_assemblage_B	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/543/975/GCA_001543975.1_G_duodenalis_AssB_BAH15c1	Giardia intestinalis	Scaffold
G_intes_ATCC_50581	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/182/405/GCA_000182405.1_ASM18240v1	Giardia intestinalis	Contig
#G_intes_Giardia_lamblia_ATCC_50803	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/435/GCF_000002435.1_GL2	Giardia intestinalis	Scaffold
G_intes_Giardia_lamblia_P15	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/182/665/GCA_000182665.1_ASM18266v1	Giardia intestinalis	Contig
G_mur	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/247/105/GCA_006247105.1_UU_GM_1.1	Giardia muris	Chromosome
L_adl	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/369/305/GCA_902369305.1_Lad	Leishmania adleri	Complete Genome
L_aet	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/992/445/GCA_003992445.1_ASM399244v1	Leishmania aethiopica	Contig
L_aet_L147	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/444/285/GCA_000444285.2_Leishmania_aethiopica-L147-2.0.3	Leishmania aethiopica	Chromosome
L_ama	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/317/125/GCA_005317125.1_ASM531712v1	Leishmania amazonensis	Complete Genome
L_ara	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/410/695/GCA_000410695.2_Leishmania_arabica_LEM1108-1.0.3	Leishmania arabica	Chromosome
L_braz	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/369/275/GCA_902369275.1_Lbraz	Leishmania braziliensis	Complete Genome
L_braz_MHOM_BR_75_M2903	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/340/355/GCA_000340355.2_Leishmania_braziliensis_M2903-1.0.6	Leishmania braziliensis	Chromosome
L_braz_MHOM_BR_75_M2904	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/845/GCF_000002845.2_ASM284v2	Leishmania braziliensis	Chromosome
