#name	ftp_path	organism	assembly_level
A_chr_GCF_002220155_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/220/155/GCF_002220155.1_ASM222015v1	Azotobacter chroococcum	Complete Genome
A_chr_GCF_016406165_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/406/165/GCF_016406165.1_ASM1640616v1	Azotobacter chroococcum	Complete Genome
A_chr_NCIMB_8003_GCF_000817975_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/817/975/GCF_000817975.1_ASM81797v1	Azotobacter chroococcum	Complete Genome
A_saline_GCF_009363155_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/363/155/GCF_009363155.1_ASM936315v1	Azotobacter salinestris	Complete Genome
A_vin_CA6_GCF_000380365_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/380/365/GCF_000380365.1_ASM38036v1	Azotobacter vinelandii	Complete Genome
A_vin_CA_GCF_000380335_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/380/335/GCF_000380335.1_ASM38033v1	Azotobacter vinelandii	Complete Genome
A_vin_DJ_GCF_000021045_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/045/GCF_000021045.1_ASM2104v1	Azotobacter vinelandii	Complete Genome
E_moran_GCF_003991975_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/991/975/GCF_003991975.1_ASM399197v1	Entomomonas moraniae	Complete Genome
H_aes_GCF_021184005_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/184/005/GCF_021184005.1_ASM2118400v1	Halopseudomonas aestusnigri	Complete Genome
H_lit_GCF_900105005_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/105/005/GCF_900105005.1_IMG-taxon_2667527220_annotated_assembly	Halopseudomonas litoralis	Chromosome
H_sab_GCF_900105255_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/105/255/GCF_900105255.1_IMG-taxon_2675902958_annotated_assembly	Halopseudomonas sabulinigri	Chromosome
H_sale_GCF_900105655_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/105/655/GCF_900105655.1_IMG-taxon_2667527386_annotated_assembly	Halopseudomonas salegens	Chromosome
H_xin_GCF_900104945_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/104/945/GCF_900104945.1_IMG-taxon_2667527388_annotated_assembly	Halopseudomonas xinjiangensis	Chromosome
M_adh_GCF_018972165_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/972/165/GCF_018972165.1_ASM1897216v1	Marinobacter adhaerens	Complete Genome
M_adh_HP15_GCF_000166295_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/166/295/GCF_000166295.1_ASM16629v1	Marinobacter adhaerens	Complete Genome
M_fon_GCF_008122265_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/122/265/GCF_008122265.1_ASM812226v1	Marinobacter fonticola	Complete Genome
M_nau_ATCC_49840_GCF_000284615_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/615/GCF_000284615.1_ASM28461v1	Marinobacter nauticus	Complete Genome
M_nau_VT8_GCF_000015365_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/365/GCF_000015365.1_ASM1536v1	Marinobacter nauticus	Complete Genome
M_psychrophilus_GCF_001043175_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/043/175/GCF_001043175.1_ASM104317v1	Marinobacter psychrophilus	Complete Genome
M_sala_GCF_002116735_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/116/735/GCF_002116735.1_ASM211673v1	Marinobacter salarius	Complete Genome
M_sala_GCF_003986605_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/986/605/GCF_003986605.1_ASM398660v1	Marinobacter salarius	Complete Genome
M_salinus_GCF_001854125_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/854/125/GCF_001854125.1_ASM185412v1	Marinobacter salinus	Complete Genome
M_sals_GCF_017798185_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/798/185/GCF_017798185.1_ASM1779818v1	Marinobacter salsuginis	Chromosome
M_simil_GCF_000830985_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/830/985/GCF_000830985.1_ASM83098v1	Marinobacter similis	Complete Genome
Pe_agg_GCF_009756665_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/756/665/GCF_009756665.1_ASM975666v1	Permianibacter aggregans	Complete Genome
Ps_aer_B136_33_GCF_000359505_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/359/505/GCF_000359505.1_ASM35950v1	Pseudomonas aeruginosa	Complete Genome
Ps_aer_C_NN2_GCF_900185255_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/185/255/GCF_900185255.1_NN2	Pseudomonas aeruginosa	Complete Genome
Ps_aer_DHS01_GCF_000496455_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/496/455/GCF_000496455.2_ASM49645v2	Pseudomonas aeruginosa	Complete Genome
Ps_aer_DK1_GCF_900069025_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/069/025/GCF_900069025.1_ASM90006902v1	Pseudomonas aeruginosa	Complete Genome
Ps_aer_DK2_GCF_000271365_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/365/GCF_000271365.1_ASM27136v1	Pseudomonas aeruginosa	Complete Genome
Ps_aer_DSM_50071_NBRC_12689_GCF_001045685_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/045/685/GCF_001045685.1_ASM104568v1	Pseudomonas aeruginosa	Complete Genome
Ps_aer_GCF_000763245_3	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/763/245/GCF_000763245.3_ASM76324v3	Pseudomonas aeruginosa	Complete Genome
Ps_aer_GCF_000816985_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/816/985/GCF_000816985.1_ASM81698v1	Pseudomonas aeruginosa	Complete Genome
Ps_aer_GCF_000829255_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/829/255/GCF_000829255.1_ASM82925v1	Pseudomonas aeruginosa	Complete Genome
Ps_aer_GCF_000829275_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/829/275/GCF_000829275.1_ASM82927v1	Pseudomonas aeruginosa	Complete Genome
Ps_aer_GCF_000829885_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/829/885/GCF_000829885.1_ASM82988v1	Pseudomonas aeruginosa	Complete Genome
Ps_aer_GCF_000981825_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/981/825/GCF_000981825.1_ASM98182v1	Pseudomonas aeruginosa	Complete Genome
Ps_aer_GCF_001077475_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/077/475/GCF_001077475.1_ASM107747v1	Pseudomonas aeruginosa	Complete Genome
Ps_aer_GCF_001293085_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/293/085/GCF_001293085.1_ASM129308v1	Pseudomonas aeruginosa	Complete Genome
Ps_aer_GCF_001447845_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/447/845/GCF_001447845.1_ASM144784v1	Pseudomonas aeruginosa	Complete Genome
Ps_aer_GCF_001457615_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/457/615/GCF_001457615.1_NCTC10332	Pseudomonas aeruginosa	Complete Genome
Ps_aer_GCF_001482325_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/482/325/GCF_001482325.1_ASM148232v1	Pseudomonas aeruginosa	Complete Genome
Ps_aer_GCF_001515845_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/515/845/GCF_001515845.2_ASM151584v2	Pseudomonas aeruginosa	Complete Genome
Ps_aer_GCF_001515915_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/515/915/GCF_001515915.2_ASM151591v2	Pseudomonas aeruginosa	Complete Genome
Ps_aer_GCF_001516005_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/005/GCF_001516005.1_ASM151600v1	Pseudomonas aeruginosa	Complete Genome
Ps_aer_GCF_001516105_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/105/GCF_001516105.1_ASM151610v1	Pseudomonas aeruginosa	Complete Genome
Ps_aer_GCF_001516165_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/165/GCF_001516165.2_ASM151616v2	Pseudomonas aeruginosa	Complete Genome
Ps_aer_GCF_001516185_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/185/GCF_001516185.2_ASM151618v2	Pseudomonas aeruginosa	Complete Genome
Ps_aer_GCF_001516205_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/205/GCF_001516205.2_ASM151620v2	Pseudomonas aeruginosa	Complete Genome
Ps_aer_GCF_001516225_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/225/GCF_001516225.2_ASM151622v2	Pseudomonas aeruginosa	Complete Genome
Ps_aer_GCF_001516245_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/245/GCF_001516245.2_ASM151624v2	Pseudomonas aeruginosa	Complete Genome
Ps_aer_GCF_001516265_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/265/GCF_001516265.1_ASM151626v1	Pseudomonas aeruginosa	Complete Genome
Ps_aer_GCF_001516305_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/305/GCF_001516305.2_ASM151630v2	Pseudomonas aeruginosa	Complete Genome
Ps_aer_GCF_001516325_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/325/GCF_001516325.2_ASM151632v2	Pseudomonas aeruginosa	Complete Genome
Ps_aer_GCF_001516345_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/345/GCF_001516345.1_ASM151634v1	Pseudomonas aeruginosa	Complete Genome
Ps_aer_GCF_001516365_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/365/GCF_001516365.2_ASM151636v2	Pseudomonas aeruginosa	Complete Genome
Ps_aer_GCF_001516385_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/385/GCF_001516385.1_ASM151638v1	Pseudomonas aeruginosa	Complete Genome
Ps_aer_GCF_001518975_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/518/975/GCF_001518975.1_ASM151897v1	Pseudomonas aeruginosa	Complete Genome
Ps_aer_GCF_001542795_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/542/795/GCF_001542795.2_ASM154279v2	Pseudomonas aeruginosa	Complete Genome
Ps_aer_GCF_001542835_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/542/835/GCF_001542835.1_ASM154283v1	Pseudomonas aeruginosa	Complete Genome
Ps_aer_GCF_001547955_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/547/955/GCF_001547955.1_ASM154795v1	Pseudomonas aeruginosa	Complete Genome
Ps_aer_GCF_001548135_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/548/135/GCF_001548135.1_ASM154813v1	Pseudomonas aeruginosa	Complete Genome
Ps_aer_GCF_001548335_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/548/335/GCF_001548335.1_ASM154833v1	Pseudomonas aeruginosa	Complete Genome
Ps_aer_GCF_001594325_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/594/325/GCF_001594325.2_ASM159432v2	Pseudomonas aeruginosa	Complete Genome
Ps_aer_GCF_001606045_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/606/045/GCF_001606045.1_ASM160604v1	Pseudomonas aeruginosa	Complete Genome
Ps_aer_GCF_001618925_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/618/925/GCF_001618925.1_ASM161892v1	Pseudomonas aeruginosa	Complete Genome
Ps_aer_GCF_001632245_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/632/245/GCF_001632245.1_ASM163224v1	Pseudomonas aeruginosa	Complete Genome
Ps_aer_GCF_001679685_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/679/685/GCF_001679685.1_ASM167968v1	Pseudomonas aeruginosa	Complete Genome
Ps_aer_GCF_001687285_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/687/285/GCF_001687285.1_ASM168728v1	Pseudomonas aeruginosa	Complete Genome
Ps_aer_GCF_001721745_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/721/745/GCF_001721745.1_ASM172174v1	Pseudomonas aeruginosa	Complete Genome
Ps_aer_GCF_001721765_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/721/765/GCF_001721765.1_ASM172176v1	Pseudomonas aeruginosa	Complete Genome
Ps_aer_GCF_001721785_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/721/785/GCF_001721785.1_ASM172178v1	Pseudomonas aeruginosa	Complete Genome
Ps_aer_GCF_001721805_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/721/805/GCF_001721805.1_ASM172180v1	Pseudomonas aeruginosa	Complete Genome
