#name	ftp_path	organism	assembly_level
A_jun_CIP_107470	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/368/665/GCF_000368665.1_Acin_grim_CIP_107470_V1	Acinetobacter junii	Scaffold
A_jun_CIP_64_5	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/368/765/GCF_000368765.1_Acin_juni_CIP_64_5_V1	Acinetobacter junii	Scaffold
A_jun_MTCC_11364	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/430/225/GCF_000430225.1_Acinetobacter_junii	Acinetobacter junii	Contig
A_jun_NIPH_182	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/368/745/GCF_000368745.1_Acin_juni_NIPH_182_V1	Acinetobacter junii	Scaffold
A_jun_SH205	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/162/075/GCF_000162075.1_ASM16207v1	Acinetobacter junii	Scaffold
A_jun_TG19608	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/302/355/GCF_000302355.1_ASM30235v1	Acinetobacter junii	Contig
C_fre_4_7_47CFAA	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/238/735/GCF_000238735.1_Citr_freu_4_7_47CFAA_V1	Citrobacter freundii	Scaffold
C_fre_ATCC_8090_MTCC_1658	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/312/465/GCF_000312465.1_ASM31246v1	Citrobacter freundii	Contig
C_fre_ballerup_7851_39	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/208/765/GCF_000208765.1_ASM20876v1	Citrobacter freundii	Scaffold
C_fre_CFNIH1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/648/515/GCF_000648515.1_ASM64851v1	Citrobacter freundii	Complete Genome
C_fre_GTC_09479	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/342/325/GCF_000342325.1_Whole_genome_assembly	Citrobacter freundii	Contig
C_fre_GTC_09629	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/388/155/GCF_000388155.1_Whole_genome_assembly	Citrobacter freundii	Contig
C_fre_MGH_56	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/692/115/GCF_000692115.1_Citr_freu_MGH_56_V1	Citrobacter freundii	Scaffold
C_fre_NBRC_12681	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/759/735/GCF_000759735.1_ASM75973v1	Citrobacter freundii	Contig
C_fre_RLS1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/582/615/GCF_000582615.1_Citrobacter_assembly	Citrobacter freundii	Contig
C_fre_UCI_31	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/521/965/GCF_000521965.1_Citr_freu_UCI_31_V2	Citrobacter freundii	Scaffold
C_fre_UCI_32	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/521/945/GCF_000521945.1_Citr_freu_UCI_32_V1	Citrobacter freundii	Scaffold
K_aer_EA1509E	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/334/515/GCF_000334515.1_ASM33451v1	Klebsiella aerogenes	Complete Genome
K_aer_FGI35	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/383/335/GCF_000383335.1_ASM38333v1	Klebsiella aerogenes	Scaffold
K_aer_KCTC_2190	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/215/745/GCF_000215745.1_ASM21574v1	Klebsiella aerogenes	Complete Genome
K_aer_MGH_61	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/692/155/GCF_000692155.1_Ente_aero_MGH_61_V1	Klebsiella aerogenes	Scaffold
K_aer_MGH_62	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/692/175/GCF_000692175.1_Ente_aero_MGH_62_V1	Klebsiella aerogenes	Scaffold
K_aer_MGH_77	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/692/195/GCF_000692195.1_Ente_aero_MGH_77_V1	Klebsiella aerogenes	Scaffold
K_aer_MGH_78	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/692/215/GCF_000692215.1_Ente_aero_MGH_78_V1	Klebsiella aerogenes	Scaffold
K_aer_UCI_15	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/534/335/GCF_000534335.1_Ente_aero_UCI_15_V1	Klebsiella aerogenes	Scaffold
K_aer_UCI_16	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/534/315/GCF_000534315.1_Ente_aero_UCI_16_V1	Klebsiella aerogenes	Scaffold
K_aer_UCI_27	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/534/255/GCF_000534255.1_Ente_aero_UCI_27_V1	Klebsiella aerogenes	Scaffold
K_aer_UCI_28	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/534/235/GCF_000534235.1_Ente_aero_UCI_28_V1	Klebsiella aerogenes	Scaffold
K_aer_UCI_45	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/534/135/GCF_000534135.1_Ente_aero_UCI_45_V1	Klebsiella aerogenes	Scaffold
K_aer_UCI_46	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/534/115/GCF_000534115.1_Ente_aero_UCI_46_V1	Klebsiella aerogenes	Scaffold
K_aer_UCI_47	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/534/095/GCF_000534095.1_Ente_aero_UCI_47_V1	Klebsiella aerogenes	Scaffold
K_aer_UCI_48	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/534/075/GCF_000534075.1_Ente_aero_UCI_48_V1	Klebsiella aerogenes	Scaffold
K_oxy_09_7231	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/078/175/GCF_001078175.1_Kleb_oxyt_09-7231_V1	Klebsiella oxytoca	Scaffold
K_oxy_10_5243	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/247/855/GCF_000247855.1_Kleb_oxyt_10-5243_V1	Klebsiella oxytoca	Scaffold
K_oxy_10_5244	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/078/195/GCF_001078195.1_Kleb_oxyt_10-5244_V1	Klebsiella oxytoca	Scaffold
K_oxy_10_5245	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/247/875/GCF_000247875.1_Kleb_oxyt_10-5245_V1	Klebsiella oxytoca	Scaffold
K_oxy_10_5248	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/078/235/GCF_001078235.1_Kleb_oxyt_10-5248_V1	Klebsiella oxytoca	Scaffold
K_oxy_10_5249	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/078/255/GCF_001078255.1_Kleb_oxyt_10-5249_V1	Klebsiella oxytoca	Scaffold
