#name	ftp_path	organism	assembly_level
Cdub_CD36	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/945/GCF_000026945.1_ASM2694v1	Candida dubliniensis	Complete Genome
Cort_Co_90_125	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/315/875/GCF_000315875.1_ASM31587v1	Candida orthopsilosis	Chromosome
Calb_SC5314	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/182/965/GCF_000182965.3_ASM18296v3	Candida albicans	Chromosome
Ctro_MYA_3404	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/335/GCF_000006335.3_ASM633v3	Candida tropicalis	Scaffold
Calb_WO_1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/445/GCA_000149445.2_ASM14944v2	Candida albicans	Chromosome
Calb_A123	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/447/455/GCA_000447455.1_Cand_albi_A123_V1	Candida albicans	Scaffold
Calb_A92	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/447/475/GCA_000447475.1_Cand_albi_A92_V1	Candida albicans	Scaffold
Calb_A203	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/447/495/GCA_000447495.1_Cand_albi_A203_V1	Candida albicans	Scaffold
Calb_A67	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/447/515/GCA_000447515.1_Cand_albi_A67_V1	Candida albicans	Scaffold
Calb_A48	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/447/535/GCA_000447535.1_Cand_albi_A48_V1	Candida albicans	Scaffold
Calb_CHN1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/447/555/GCA_000447555.1_Cand_albi_CHN1_V1	Candida albicans	Scaffold
Calb_A20	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/447/575/GCA_000447575.1_Cand_albi_A20_V1	Candida albicans	Scaffold
Calb_3153A	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/447/595/GCA_000447595.1_Cand_albi_3153A_V1	Candida albicans	Scaffold
