#name	ftp_path	organism	assembly_level
Pkno_strain_H	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/355/GCF_000006355.1_ASM635v1	Plasmodium knowlesi	Chromosome
Pcyn_strain_B	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/321/355/GCF_000321355.1_PcynB_1.0	Plasmodium cynomolgi	Chromosome
Pcha_chabaudi	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/002/335/GCF_900002335.2_PCHAS01	Plasmodium chabaudi	Chromosome
Pber_ANKA	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/002/375/GCF_900002375.1_PBANKA01	Plasmodium berghei	Chromosome
Pinu_San_Antonio_1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/524/495/GCF_000524495.1_Plas_inui_San_Antonio_1_V1	Plasmodium inui	Scaffold
Pvin_vinckei	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/709/005/GCF_000709005.1_Plas_vinc_vinckei_V1	Plasmodium vinckei	Scaffold
Pfal_3D7	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/765/GCF_000002765.4_ASM276v2	Plasmodium falciparum	Complete Genome
Pcha_adami	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/095/565/GCA_900095565.1_PchDK	Plasmodium chabaudi	Chromosome
Pyoe_yoelii	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/003/085/GCA_000003085.2_ASM308v2	Plasmodium yoelii	Contig
Pfal_HB3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/665/GCA_000149665.2_ASM14966v2	Plasmodium falciparum	Scaffold
Pfal_Dd2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/795/GCA_000149795.1_ASM14979v1	Plasmodium falciparum	Scaffold
Pyoe_17X	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/505/035/GCA_000505035.1_Plas_yoel_17X_V2	Plasmodium yoelii	Scaffold
Pfal_Vietnam_Oak_Knoll_FVO_	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/521/015/GCA_000521015.1_Plas_falc_Vietnam_Oak-Knoll_FVO_V1	Plasmodium falciparum	Scaffold
Pfal_NF54	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/401/695/GCA_000401695.2_Plas_falc_NF4_V1	Plasmodium falciparum	Scaffold
Pfal_UGT5_1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/401/715/GCA_000401715.2_Plas_falc_5_1_V1	Plasmodium falciparum	Scaffold
Pfal_MaliPS096_E11	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/521/035/GCA_000521035.1_Plas_falc_MaliPS096_E11_V1	Plasmodium falciparum	Scaffold
Pfal_Tanzania_2000708_	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/521/055/GCA_000521055.1_Plas_falc_02000708_V1	Plasmodium falciparum	Scaffold
Pfal_NF135_5_C10	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/521/075/GCA_000521075.1_Plas_falc_NF135_5_C10_V1	Plasmodium falciparum	Scaffold
Pfal_Palo_Alto_Uganda	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/521/095/GCA_000521095.1_Plas_falc_Uganda_Palo-Alto_FUP_H_V1	Plasmodium falciparum	Scaffold
Pfal_CAMP_Malaysia	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/521/115/GCA_000521115.1_Plas_falc_Malayan_Camp_V1	Plasmodium falciparum	Scaffold
Pfal_FCH_4	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/521/155/GCA_000521155.1_Plas_falc_FCH_4_V2	Plasmodium falciparum	Scaffold
Pfal_7G8	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/150/435/GCA_000150435.3_Plas_falc_7G8_V1	Plasmodium falciparum	Scaffold
Pfal_Santa_Lucia	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/150/455/GCA_000150455.3_Plas_falc_Santa_Lucia_Salvador_I_V1	Plasmodium falciparum	Scaffold
Pvin_petteri	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/524/515/GCA_000524515.1_Plas_vinc_pett_CR_V1	Plasmodium vinckei	Scaffold
Pviv_India_VII	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/320/625/GCA_000320625.2_PV_India_VII_V2	Plasmodium vivax	Scaffold
Pviv_Brazil_I	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/320/645/GCA_000320645.2_PV_Brazil_I_V1	Plasmodium vivax	Scaffold
Pviv_Mauritania_I	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/320/665/GCA_000320665.2_PV_Mauritania_I_V1	Plasmodium vivax	Scaffold
