chr	first	last	size	tetrad	spores	type
chr01	31788	34189	2402	msh4_1	a,d	X
chr01	127727.5	130197.5	2471	msh4_1	c	C
chr02	74435.5	75880.5	1446	msh4_1	a,d	X
chr02	156555.5	160918	4363.5	msh4_1	d	C
chr02	191911.5	193260.5	1350	msh4_1	c	C
chr02	191911.5	193260.5	1350	msh4_1	d	C
chr02	249304	252378.5	3075.5	msh4_1	d	C
chr02	286019	288584.5	2566.5	msh4_1	b,c	X
chr02	359807.5	360667.5	861	msh4_1	b,d	X
chr02	463749	466780	3032	msh4_1	d,b	X
chr02	617062	621619	4558	msh4_1	b,c	M
chr02	689121	693849.5	4729.5	msh4_1	a	C
chr02	689447	690470.5	1024.5	msh4_1	b	C
chr02	761860	761860	NA	msh4_1	a,d	X
chr03	65117	66603.5	1487.5	msh4_1	a	C
chr03	75061.5	76585.5	1525	msh4_1	d	C
chr03	139578	141999.5	2422.5	msh4_1	b	C
chr03	210284	210284	NA	msh4_1	b,c	X
chr03	244528	246051.5	1524.5	msh4_1	a	C
chr04	197615.5	199064.5	1450	msh4_1	d	C
chr04	241017	243567.5	2551.5	msh4_1	d	C
chr04	525026	525544	519	msh4_1	d,c	X
chr04	551663	556064.5	4402.5	msh4_1	d	C
chr04	554578.5	555191	613.5	msh4_1	c	C
chr04	621314.5	625106.5	3793	msh4_1	d,b	M
chr04	846304	846685.5	382.5	msh4_1	c	C
chr04	851757.5	856528	4771.5	msh4_1	a,d	X
chr04	923392.5	928868	5476.5	msh4_1	d,c	X
chr04	1011026	1013576	2551	msh4_1	d	C
chr04	1216695	1218754.5	2060.5	msh4_1	c	C
chr04	1417860.5	1423307.5	5448	msh4_1	c,a	X
chr04	1475059	1478446	3388	msh4_1	a,c	M
chr05	42364	43738.5	1375.5	msh4_1	b,c	X
chr05	58019	58799	781	msh4_1	b	C
chr05	87999.5	93648.5	5650	msh4_1	d	C
chr05	186245	189781	3537	msh4_1	c,b	M
chr05	212987.5	216170	3183.5	msh4_1	d	C
chr05	236626	237896	1271	msh4_1	d,b	X
chr05	322223.5	323494	1271.5	msh4_1	d	C
chr05	334513.5	336795	2282.5	msh4_1	a,b	M
chr05	377884	378955	1072	msh4_1	d	C
chr07	52654.75	54688.5	2034.75	msh4_1	b,d	X
chr07	77516.5	80212.5	2697	msh4_1	a,c	X
chr07	411088	413765	2678	msh4_1	c,d	M
chr07	582621.5	583721.5	1101	msh4_1	b,a	X
chr07	738225	739637	1413	msh4_1	b	C
chr07	892311.5	894738.75	2428.25	msh4_1	c	C
chr07	1010831	1014465.5	3635.5	msh4_1	a,c	X
chr08	120300.5	121538	1238.5	msh4_1	c	CC
chr08	129413.25	129413.25	NA	msh4_1	a,d	X
chr08	142560.5	143512	952.5	msh4_1	a	C
chr08	182465	183120	656	msh4_1	c	C
chr08	182465	183120	656	msh4_1	d	C
chr08	230578.5	234974.25	4396.75	msh4_1	a	C
chr08	489417	491899	2483	msh4_1	c	C
chr09	53859	58193	4335	msh4_1	c,a	X
chr09	140155	144407.5	4253.5	msh4_1	a,c	X
chr09	175523	183003.5	7481.5	msh4_1	d	C
chr09	178718.5	179332.5	615	msh4_1	b	C
chr09	260426.5	262826.5	NA	msh4_1	b,d	X
chr09	336453	339872.5	3420.5	msh4_1	a,b	X
chr09	339545.5	339872.5	328	msh4_1	c	C
chr10	234468	240974	6507	msh4_1	b,c	X
chr10	294558.5	294780.5	223	msh4_1	b	C
chr10	466039.5	467098	1059.5	msh4_1	c	C
chr10	637826	639190.75	1365.75	msh4_1	a	C
chr10	639190.75	640998.5	1808.75	msh4_1	b	C
chr11	89085	92783	3699	msh4_1	a,b	M
chr11	181520.5	183641.5	2122	msh4_1	b,a	X
chr11	224049	227114.5	3066.5	msh4_1	d,c	M
chr11	316885.25	317781	896.75	msh4_1	b	C
chr12	115873	117184.5	1312.5	msh4_1	a,b	X
chr12	130830.75	131175	345.25	msh4_1	a	C
chr12	498392	499908.5	1517.5	msh4_1	a,b	X
chr12	751272	753830	2559	msh4_1	c,d	M
chr13	19773	19773	NA	msh4_1	b,c	X
chr13	66336.5	73857	7521.5	msh4_1	a	C
chr13	190463	194829.5	4367.5	msh4_1	b	C
chr13	210763.5	211820.5	1058	msh4_1	c	C
chr13	396097.5	396659	562.5	msh4_1	d	C
chr13	413164	415040.5	1877.5	msh4_1	a	C
chr13	477568	477568	NA	msh4_1	c,d	X
chr13	561956.5	564541	2585.5	msh4_1	d,c	X
chr13	728657	733255.5	4599.5	msh4_1	a	C
chr13	792115	794672.5	2558.5	msh4_1	c	C
chr13	832187	836802	4616	msh4_1	b,a	X
chr13	866461	866461	NA	msh4_1	b,d	X
chr14	78725	81617.5	2893.5	msh4_1	b,d	X
chr14	209819.5	211602	1783.5	msh4_1	c,d	X
chr14	295462	298733.5	3272.5	msh4_1	b	C
chr14	317552	317552	NA	msh4_1	a,d	X
chr14	415055	416942	1888	msh4_1	d	C
chr14	477987.5	479024	1037.5	msh4_1	a,d	X
chr14	477987.5	479024	1037.5	msh4_1	b	C
chr14	587299.5	587920.5	622	msh4_1	d	C
chr14	666158.5	668048	1890.5	msh4_1	b	C
chr14	677486	680011.5	2526.5	msh4_1	d,c	X
chr15	141028.5	144062.5	3035	msh4_1	a,b	X
chr15	393254.5	396254	3000.5	msh4_1	a,d	M
chr15	630385.5	631972	1587.5	msh4_1	a,d	X
chr15	641684.5	651175	9491.5	msh4_1	c,d	X
chr15	745466.5	746619.5	1154	msh4_1	b,a	X
chr15	836036.5	837915.75	1880.25	msh4_1	d,a	X
chr15	943591.5	952196	8605.5	msh4_1	b,d	M
chr15	986927	990683.5	3757.5	msh4_1	d	C
chr15	998593.5	1008532	9939.5	msh4_1	b	CC
chr15	1011908	1012902.5	995.5	msh4_1	d	C
chr16	339493.5	341053.5	1561	msh4_1	a	C
chr16	443435	447022	3588	msh4_1	c	C
chr16	720775	721583.5	809.5	msh4_1	b	C
chr16	838835.5	841100	2265.5	msh4_1	d,a	X
chr16	886395.5	890382.5	3988	msh4_1	b,d	X
chr01	197336	199396.5	2061.5	msh4_2	d	C
chr02	362216	363461	1246	msh4_2	b	C
chr02	379086.5	379780.5	695	msh4_2	c,d	X
chr02	564947.5	566309.5	1363	msh4_2	b	C
chr02	790254	790254	NA	msh4_2	b,d	X
chr03	213384	213384	NA	msh4_2	b,c	X
chr03	221924	227790.5	5867.5	msh4_2	d	CC
chr03	234737.5	236616	1879.5	msh4_2	b,c	X
chr03	248155	249194	1040	msh4_2	a	C
chr04	238361.5	239234.5	874	msh4_2	d	C
chr04	384064	387964	3901	msh4_2	c,d	X
chr04	631772.5	631772.5	NA	msh4_2	c,d	X
chr04	846685.5	848535	1850.5	msh4_2	a,b	X
chr04	1277914.5	1279350.5	1437	msh4_2	a	C
chr04	1348897	1351062.75	2166.75	msh4_2	a	C
chr04	1474777.5	1476807.5	2031	msh4_2	d,a	X
chr04	1506266	1508493	2228	msh4_2	a,c	X
chr05	72180.5	74362.5	2183	msh4_2	a,b	X
chr05	120043.5	122795.5	2753	msh4_2	c	C
chr05	121778.5	123842.5	2065	msh4_2	a,b	X
chr05	167133	167534	402	msh4_2	c	C
chr05	214368.5	215251.5	884	msh4_2	d	C
chr05	221850.5	222911.5	1062	msh4_2	c	C
chr05	374271.5	374912	641.5	msh4_2	a	C
chr06	74682	75787.5	1106.5	msh4_2	c,d	X
chr06	183411	185129	1719	msh4_2	a	C
chr07	202216	203289.5	1074.5	msh4_2	a,b	X
chr07	426529	429591.5	3063.5	msh4_2	b,a	X
chr07	429087.5	429763.5	677	msh4_2	d	C
chr07	576088.5	576088.5	NA	msh4_2	b,c	X
chr07	624312.5	627051	2739.5	msh4_2	c,a	X
chr07	677690.5	680714.5	3025	msh4_2	d,b	X
chr07	753163.5	755638	2475.5	msh4_2	b,c	X
chr07	904332	906689.5	2358.5	msh4_2	d,a	X
chr07	973918	973918	NA	msh4_2	a,d	X
chr08	173773	175880.5	2108.5	msh4_2	c	C
chr08	393930.5	394846.5	917	msh4_2	b,a	X
chr09	309417	309417	NA	msh4_2	a,d	X
chr09	368854.5	370605.5	1752	msh4_2	b	C
chr10	30790.5	36480	5690.5	msh4_2	c	C
chr10	34292.5	36480	2188.5	msh4_2	b	C
chr10	88541	92792	4252	msh4_2	b	C
chr10	104508	104619.5	112.5	msh4_2	c	C
chr10	122340.75	123108	768.25	msh4_2	a,d	X
chr10	305092	305414	323	msh4_2	a,d	X
chr10	314812	316223	1412	msh4_2	a	C
chr10	349176	350142	967	msh4_2	c	C
chr10	672773	673199	NA	msh4_2	d,a	X
chr10	718812.5	721742	2930.5	msh4_2	c	C
chr11	205992	208596.5	2605.5	msh4_2	a,d	X
chr11	314507	314630.75	124.75	msh4_2	c	C
chr11	534397	535970.5	1574.5	msh4_2	d,a	X
chr12	174288.5	175114.5	827	msh4_2	a	C
chr12	236872	242004	5133	msh4_2	c,b	X
chr12	365732	375165	9434	msh4_2	a	C
chr12	853724	856263.5	2540.5	msh4_2	b,d	X
chr12	873957	875955.5	1999.5	msh4_2	b,d	X
chr12	1035086	1035765.5	680.5	msh4_2	a	C
chr12	1035086	1035765.5	680.5	msh4_2	c	C
chr13	139996	141145.5	1150.5	msh4_2	b,d	X
chr13	177736	180427.5	2692.5	msh4_2	d,b	X
chr13	191385	192589.5	1205.5	msh4_2	a	C
chr13	208385.5	209981	1596.5	msh4_2	b,c	X
chr13	222743	224737.5	1995.5	msh4_2	b	C
chr13	325416.5	326607	1191.5	msh4_2	c	C
chr13	468275.5	468717	442.5	msh4_2	c	C
chr13	694825	694825	NA	msh4_2	a,b	X
chr13	695883.25	697007	1124.75	msh4_2	c	C
chr13	798075.5	799203	1128.5	msh4_2	a	C
chr14	186168	187321.5	1154.5	msh4_2	a	C
chr14	280917.5	281571.5	NA	msh4_2	a,b	X
chr14	300761.5	301180.5	420	msh4_2	a	C
chr14	302886.5	304409.5	1524	msh4_2	d	C
chr14	369869.5	370479	610.5	msh4_2	c	C
chr14	466109.5	467855.5	1747	msh4_2	a,c	X
chr14	478470	481242.5	2773.5	msh4_2	a,d	X
chr15	53760.5	55454.5	1695	msh4_2	b	CC
chr15	72281	75202	2922	msh4_2	d,b	X
chr15	83868.5	83868.5	NA	msh4_2	a,d	X
chr15	219189	220734.5	1546.5	msh4_2	d,a	X
chr15	252425	256259	3835	msh4_2	a,c	X
chr15	268739	269431	693	msh4_2	a	C
chr15	270728	274115	3388	msh4_2	c,d	X
chr15	603645.5	605603.5	1959	msh4_2	a	C
chr15	726326.5	728195	1869.5	msh4_2	a,b	X
