Acorus	Acor_americanus	Queries	NC_010093	153819	83497-109521,127795-153819	1-83496	109522-127794
Acorus	Acor_calamus	Target	NC_007407	153821	84150-109846,128125-153821	1-84149	109847-128124
Acorus	Acor_gramineus	Queries	NC_026299	152849	82978-108799,127028-152849	1-82977	108800-127027
Angelica	Angeli_acutiloba	Queries	NC_029391	147074	93368-111434,129008-147074	1-93367	111435-129007
Angelica	Angeli_dahurica	Target	NC_029392	146918	93605-111423,129100-146918	1-93604	111424-129099
Angelica	Angeli_gigas	Queries	NC_029393	146916	93119-111226,128809-146916	1-93118	111227-128808
Bupleurum	Bup_boissieuanum	Queries	NC_036017	156108	86010-112310,129806-156106	1-86009,156107-156108	112311-129805
Bupleurum	Bup_falcatum	Target	NC_027834	155989	85913-112192,129710-155989	1-85912	112193-129709
Bupleurum	Bup_latissimum	Queries	NC_033346	155621	85470-111771,129320-155621	1-85469	111772-129319
Hansenia	Hans_forbesii	Queries	NC_035054	159287	89133-114864,133136-158870	1-89132,158871-159287	114865-133135
Hansenia	Hans_forrestii	Queries	NC_035056	159505	89636-115095,133307-158768	1-89635,158769-159505	115096-133306
#Hansenia	Hans_oviformis	Queries	NC_035055	157292	MULTI	MULTI	MULTI
Hansenia	Hans_weberbaueriana	Target	NC_035053	158625	88261-114329,132562-158625	1-88260	114330-132561
Peucedanum	Peu_insolens	Queries	NC_033344	156912	84493-112000,129418-156912	1-84492	112001-129417
Peucedanum	Peu_japonicum	Target	NC_034644	164653	75585-111343,128895-164653	1-75584	111344-128894
#Aralia	Aral_undulata	Outgroup	NA	NA	NA	NA	NA
Dendropanax	Dendrop_dentiger	Queries	NC_026546	156687	86681-112609,130759-156687	1-86680	112610-130758
Dendropanax	Dendrop_morbifer	Target	NC_027607	156366	86476-112358,130484-156366	1-86475	112359-130483
Hydrocotyle	Hydroc_sibthorpioides	Target	NC_035502	152880	84065-109127,127818-152880	1-84064	109128-127817
Hydrocotyle	Hydroc_verticillata	Queries	NC_015818	153207	84353-109416,128144-153207	1-84352	109417-128143
Panax	Panax_ginseng	Target	NC_006290	156318	86107-112177,130248-156318	1-86106	112178-130247
Panax	Panax_japonicus	Queries	NC_028703	156188	86200-112187,130201-156188	1-86199	112188-130200
Panax	Panax_notoginseng	Queries	NC_026447	156387	86112-112247,130252-156387	1-86111	112248-130251
Panax	Panax_quinquefolius	Queries	NC_027456	156088	86096-112095,130089-156088	1-86095	112096-130088
Panax	Panax_stipuleanatus	Queries	NC_030598	156064	86117-112003,130178-156064	1-86116	112004-130177
Panax	Panax_trifolius	Queries	NC_037994	156157	86323-112216,130264-156157	1-86322	112217-130263
Panax	Panax_vietnamensis	Queries	NC_028704	155993	86179-112121,130051-155993	1-86178	112122-130050
Schefflera	Sche_delavayi	Target	NC_022813	156341	86124-112159,130306-156341	1-86123	112160-130305
Schefflera	Sche_heptaphylla	Queries	NC_029764	156685	86611-112574,130722-156685	1-86610	112575-130721
Ilex	Ilex_dumosa	Target	NC_031208	157732	87135-113221,131637-157723	1-87134,157724-157732	113222-131636
Ilex	Ilex_paraguariensis	Queries	NC_031207	157614	87146-113221,131530-157605	1-87145,157606-157614	113222-131529
Allium	Alli_cepa	Target	NC_024813	153538	82695-109155,127078-153538	1-82694	109156-127077
Allium	Alli_obliquum	Queries	NC_037199	152387	81589-107958,126018-152387	1-81588	107959-126017
Allium	Alli_prattii	Queries	NC_037432	154482	83429-109990,127961-154482	1-83428	109991-127960
Allium	Alli_sativum	Queries	NC_031829	153172	82036-108598,126610-153172	1-82035	108599-126609
Allium	Alli_victorialis	Queries	NC_037240	154074	83170-109695,127549-154074	1-83169	109696-127548
Agave	Agave_americana	Target	NC_032053	157274	86095-112566,130803-157274	1-86094	112567-130802
Agave	Agave_attenuata	Queries	NC_032696	157451	86038-112610,130879-157451	1-86037	112611-130878
Asparagus	Aspa_officinalis	Target	NC_034777	156699	85000-111530,130169-156699	1-84999	111531-130168
Asparagus	Aspa_schoberioides	Queries	NC_035969	156875	85044-111599,130245-156800	1-85043,156801-156875	111600-130244
Hesperaloe	Hespera_campanulata	Queries	NC_032702	157446	86315-112763,130998-157446	1-86314	112764-130997
Hesperaloe	Hespera_parviflora	Target	NC_032703	157393	86238-112707,130924-157393	1-86237	112708-130923
Hosta	Hos_minor	Queries	NC_035999	156674	85003-111677,129903-156577	1-85002,156578-156674	111678-129902
Hosta	Hos_ventricosa	Target	NC_032706	156577	84952-111647,129882-156577	1-84951	111648-129881
Polygonatum	Polyg_cyrtonema	Target	NC_028429	153503	82544-109247,126801-153503	1-82543	109248-126800
Polygonatum	Polyg_sibiricum	Queries	NC_029485	152960	81471-107976,126389-152891	1-81470,152892-152960	107977-126388
Polygonatum	Polyg_stenophyllum	Queries	NC_035995	156028	84591-110985,129547-155941	1-84590,155942-156028	110986-129546
Polygonatum	Polyg_verticillatum	Queries	NC_028523	154639	83167-109974,127760-154567	1-83166,154568-154639	109975-127759
Yucca	Yuc_brevifolia	Queries	NC_032711	158008	86306-113007,131307-158008	1-86305	113008-131306
Yucca	Yuc_filamentosa	Target	NC_032712	157785	86136-112814,131107-157785	1-86135	112815-131106
Yucca	Yuc_queretaroensis	Queries	NC_032713	157814	86147-112833,131128-157814	1-86146	112834-131127
Yucca	Yuc_schidigera	Queries	NC_032714	156158	86108-112815,129451-156158	1-86107	112816-129450
Iris	Ir_gatesii	Queries	NC_024936	153441	82703-108886,127258-153441	1-82702	108887-127257
Iris	Ir_sanguinea	Target	NC_029227	152408	82341-108366,126383-152408	1-82340	108367-126382
Apostasia	Apos_odorata	Queries	NC_030722	159285	86289-113404,132170-159285	1-86288	113405-132169
#Apostasia	Apos_shenzhenica	Queries	NC_039812	151676	MULTI	MULTI	MULTI
#Apostasia	Apos_wallichii	Target	NC_036260	156126	MULTI	MULTI	MULTI
Bletilla	Ble_ochracea	Queries	NC_029483	157431	85808-112643,130593-157427	1-85807,157428-157431	112644-130592
Bletilla	Ble_striata	Target	NC_028422	157393	85821-112669,130066-157016	1-85820,157017-157393	112670-130065
Calanthe	Cala_davidii	Queries	NC_037438	153629	86046-112013,127664-153629	1-86045	112014-127663
Calanthe	Cala_triplicata	Target	NC_024544	158759	87306-113794,132271-158759	1-87305	113795-132270
Cattleya	Catt_crispata	Target	NC_026568	148343	85741-110614,123479-148336	1-85740,148337-148343	110615-123478
Cattleya	Catt_liliputana	Queries	NC_032083	147092	85664-110121,122647-147092	1-85663	110122-122646
Cephalanthera	Cephala_humilis	Queries	NC_030706	157011	86909-114393,129527-157011	1-86908	114394-129526
Cephalanthera	Cephala_longifolia	Target	NC_030704	161877	88807-115748,134936-161877	1-88806	115749-134935
Corallorhiza	Cora_bulbosa	Queries	NC_025659	148643	82852-109563,121932-148643	1-82851	109564-121931
Corallorhiza	Cora_macrantha	Queries	NC_025660	151031	84263-111374,123919-151030	1-84262,151031	111375-123918
Corallorhiza	Cora_mertensiana	Queries	NC_025661	147941	81110-107638,121413-147941	1-81109	107639-121412
Corallorhiza	Cora_odontorhiza	Queries	NC_025664	147317	82260-108034,121543-147317	1-82259	108035-121542
Corallorhiza	Cora_trifida	Target	NC_025662	149384	83092-109027,123448-149383	1-83091,149384	109028-123447
Corallorhiza	Cora_wisteriana	Queries	NC_025663	146437	82351-108522,120266-146437	1-82350	108523-120265
Cymbidium	Cymbi_aloifolium	Queries	NC_021429	156904	85642-112337,130202-156904	1-85641	112338-130201
Cymbidium	Cymbi_ensifolium	Target	NC_028525	157484	85781-112790,130475-157484	1-85780	112791-130474
Cymbidium	Cymbi_faberi	Queries	NC_027743	157262	85853-112649,130466-157262	1-85852	112650-130465
Cymbidium	Cymbi_goeringii	Queries	NC_028524	157192	85017-112031,129446-156459	1-85016,156460-157192	112032-129445
Cymbidium	Cymbi_kanran	Queries	NC_029711	150217	85027-110716,124528-150217	1-85026	110717-124527
Cymbidium	Cymbi_lancifolium	Queries	NC_029712	149945	84717-110383,124279-149945	1-84716	110384-124278
Cymbidium	Cymbi_macrorhizon	Queries	NC_029713	149850	85179-110631,124398-149850	1-85178	110632-124397
Cymbidium	Cymbi_mannii	Queries	NC_021433	155308	85213-111684,128713-155308	1-85212	111685-128712
Cymbidium	Cymbi_sinense	Queries	NC_021430	155548	84921-111761,128584-155548	1-84920	111762-128583
Cymbidium	Cymbi_tortisepalum	Queries	NC_021431	155627	84977-111809,128671-155627	1-84976	111810-128670
Cymbidium	Cymbi_tracyanum	Queries	NC_021432	156286	84969-111667,129588-156286	1-84968	111668-129587
Cypripedium	Cypr_formosanum	Target	NC_026772	178131	100974-128552,150474-178053	1-100973,178054-178131	128553-150473
Cypripedium	Cypr_japonicum	Queries	NC_027227	174417	97323-124914,146826-174417	1-97322	124915-146825
Cypripedium	Cypr_macranthos	Queries	NC_024421	157050	85212-111988,130274-157050	1-85211	111989-130273
Dendrobium	Dendrob_aphyllum	Queries	NC_035322	151524	84589-110896,125217-151524	1-84588	110897-125216
Dendrobium	Dendrob_bellatulum	Queries	NC_037700	152107	84988-111284,125801-152107	1-84987	111285-125800
Dendrobium	Dendrob_brymerianum	Queries	NC_035323	151830	84856-111158,125528-151830	1-84855	111159-125527
Dendrobium	Dendrob_candidum	Queries	NC_035745	152094	84985-111281,125798-152094	1-84984	111282-125797
Dendrobium	Dendrob_catenatum	Queries	NC_037361	152185	85095-111379,125901-152185	1-85094	111380-125900
Dendrobium	Dendrob_chrysanthum	Queries	NC_035336	151790	84758-111057,125491-151790	1-84757	111058-125490
Dendrobium	Dendrob_chrysotoxum	Queries	NC_028549	153953	84980-111436,126253-152709	1-84979,152710-153953	111437-126252
Dendrobium	Dendrob_crepidatum	Queries	NC_035331	151717	84812-111077,125452-151717	1-84811	111078-125451
Dendrobium	Dendrob_denneanum	Queries	NC_035324	151565	84658-110943,125280-151565	1-84657	110944-125279
Dendrobium	Dendrob_devonianum	Queries	NC_035325	151945	84967-111242,125670-151945	1-84966	111243-125669
