#name	prefix	organism	contigs
Cpar_CDC317	CABE	Candida parapsilosis CDC317	24
Cpar_CBS6318	CBZQ	Candida parapsilosis	37
Calb_P76055	AJJD	Candida albicans P76055	38
Calb_SC5314	AJJF	Candida albicans SC5314	38
Capi_NRRL_Y_50540	LBNK	Candida apicola	40
Cpar_CBS1954	CBZP	Candida parapsilosis	43
Calb_P87	AJIT	Candida albicans P87	44
Calb_P37005	AJIU	Candida albicans P37005	45
Calb_P57072	AJIY	Candida albicans P57072	45
Calb_P76067	AJJE	Candida albicans P76067	45
Calb_P60002	JSXP	Candida albicans P60002	47
Calb_P37037	AJJA	Candida albicans P37037	48
Calb_12C	AJIQ	Candida albicans 12C	50
Calb_P37039	JSXQ	Candida albicans P37039	50
Calb_P75016	JPEV	Candida albicans P75016	50
Calb_P75063	AJJC	Candida albicans P75063	51
Calb_P34048	AJIZ	Candida albicans P34048	52
Calb_P57055	AJJB	Candida albicans P57055	56
Calb_P75010	JSXR	Candida albicans P75010	56
Calb_L26	AJIR	Candida albicans L26	57
Calb_P94015	AJIS	Candida albicans P94015	58
Calb_P78048	AJIX	Candida albicans P78048	59
Calb_19F	AJIV	Candida albicans 19F	60
Calb_P78042	JPEW	Candida albicans P78042	70
Cten_ATCC_10573	AEIM	Candida tenuis ATCC 10573	72
Calb_GC75	AJIW	Candida albicans GC75	73
Calb_SC5314	JTBX	Candida albicans SC5314	77
Calb_Ca6	AJJG	Candida albicans Ca6	82
Calb_WO_1	AAFO	Candida albicans WO-1	86
Cpar_GA1	CBZX	Candida parapsilosis	98
Ccas_CBS_4332	CAPW	Candida castellii CBS 4332	101
Cniv_CBS_9983	CAPV	Candida nivariensis CBS 9983	123
Ctro_MYA_3404	AAFN	Candida tropicalis MYA-3404	128
Cort_MCO456	CBZO	Candida orthopsilosis	140
Calb_A20	AVAX	Candida albicans A20	213
Calb_A92	AVAS	Candida albicans A92	249
Cbra_CBS_10154	CAPU	Candida bracarensis CBS 10154	251
Calb_A67	AVAU	Candida albicans A67	260
Calb_A203	AVAT	Candida albicans A203	278
Calb_A123	AVAR	Candida albicans A123	279
Calb_A155	AVAZ	Candida albicans A155	284
Calb_3153A	AVAY	Candida albicans 3153A	287
Calb_A84	AVBA	Candida albicans A84	295
Calb_A48	AVAV	Candida albicans A48	320
Cgla_CCTCC_M202019	AYJS	Candida glabrata CCTCC M202019	322
Calb_CHN1	AVAW	Candida albicans CHN1	342
Ctro_121	JGYC	Candida tropicalis	350
Calb_SC5314	AACQ	Candida albicans SC5314	413
Caur_	CVRJ	Candida auris	533
Calb_Ca529L	ASHC	Candida albicans Ca529L	608
Cdub_UOB319	JFFX	Candida dubliniensis	778
Cdub_UOB320	JFFY	Candida dubliniensis	892
#Cmal_Xu316	AOGT	Candida maltosa Xu316	2947
#Cort_AY2	AMDC	Candida orthopsilosis AY2	4152
