#name	prefix	organism	contigs
Pchr_P2niaD18	JMSF	Penicillium chrysogenum	18
Pcap_LiaoWQ_2011	JPLR	Penicillium capsulatum	62
Pcap_ATCC_48735	JPLQ	Penicillium capsulatum	65
Pbra_	CDHK	Penicillium brasilianum	87
Pexp_d1	JQFY	Penicillium expansum	270
Pchr_NCPC10086	APKG	Penicillium chrysogenum NCPC10086	327
Poxa_114_2	AGIH	Penicillium oxalicum 114-2	345
Pdig_PHI26	AKCT	Penicillium digitatum PHI26	356
Pexp_MD_8	JQFZ	Penicillium expansum	382
Proq_UASWS_P1	JNNS	Penicillium roqueforti	428
Proq_FM164	CBMR	Penicillium roqueforti FM164	457
Poxa_JU_A10_T	AGII	Penicillium oxalicum JU-A10-T	482
Pexp_T01	AYHP	Penicillium expansum T01	527
Pdig_Pd1	AKCU	Penicillium digitatum Pd1	562
Ppax_ATCC_26601	AOTG	Penicillium paxilli ATCC 26601	635
Psol_RS1	JYNM	Penicillium solitum	703
Pnor_UASWS_BFE487	JNNR	Penicillium nordicum	915
Pcam_FM_013	CBVV	Penicillium camemberti FM 013	936
Pchr_IB_08	JPDR	Penicillium chrysogenum	1151
Pita_B3	JMDK	Penicillium italicum	1186
Pexp_R19	JHUC	Penicillium expansum	1231
Pchr_KF_25	AZRB	Penicillium chrysogenum KF-25	1577
Pita_PHI_1	JQGA	Penicillium italicum	1632
Pexp_CMP_1	JQFX	Penicillium expansum	1723
Pdig_Pd01_ZJU	ANGJ	Penicillium digitatum Pd01-ZJU	1816
Pver_BFE808	LAKW	Penicillium verrucosum	4207
Paur_NRRL_62431	ALJY	Penicillium aurantiogriseum NRRL 62431	4775
#Pjan_mutant_EC_6	GBSQ	Penicillium janthinellum	13184
#Pjan_wild_type_GXCR	GBSP	Penicillium janthinellum	15427
