#name	prefix	organism	contigs
Afum_Af293	AAHF	Aspergillus fumigatus Af293	19
Anig_ATCC_1015	ACJE	Aspergillus niger ATCC 1015	24
Aory_RIB40	JZJM	Aspergillus oryzae RIB40	120
Afum_A1163	ABDB	Aspergillus fumigatus A1163	140
Ater_ATCC_20542	AABT	Aspergillus terreus ATCC 20542	175
Aory_RIB326	BAEZ	Aspergillus oryzae RIB326	200
Aory_100_8	AMCJ	Aspergillus oryzae 100-8	210
Aory_3_042	AKHY	Aspergillus oryzae 3.042	225
Acla_NRRL_1	AAKD	Aspergillus clavatus NRRL 1	231
Anid_FGSC_A4	AACD	Aspergillus nidulans FGSC A4	248
Ater_NIH2624	AAJN	Aspergillus terreus NIH2624	268
Arub_CBS_135680	AWRT	Aspergillus ruber CBS 135680	371
Anig_SH_2	AUZU	Aspergillus niger SH-2	385
Afum_AF210	AFXM	Aspergillus fumigatus AF210	447
Afum_Z5	AZZA	Aspergillus fumigatus Z5	569
Afum_niveus	JHOI	Aspergillus fumigatus var. RP-2014	671
Apar_SU_1	JZEE	Aspergillus parasiticus SU-1	753
Aust_3_3904	JOMC	Aspergillus ustus	770
Afla_AF70	JZDT	Aspergillus flavus AF70	924
Asp_Z5	LDZW	Aspergillus sp. Z5	956
Aory_AS_3_863	AKXL	Aspergillus oryzae AS 3.863	962
Aory_AS_3_951	AKXN	Aspergillus oryzae AS 3.951	969
Asoj_NBRC_4239	BACA	Aspergillus sojae NBRC 4239	1034
Afum_AF10	AFXL	Aspergillus fumigatus Af10	1129
Akaw_IFO4308	BACL	Aspergillus kawachii IFO 4308	1641
Afla_NRRL3357	AAIH	Aspergillus flavus NRRL3357	3388
Aoch_SRRC1432	JYKN	Aspergillus ochraceoroseus	3590
Aram_SRRC1468	JZBS	Aspergillus rambellii	4177
Anom_	CBWY	Aspergillus nomius	4209
Apar_SU_1	JMUG	Aspergillus parasiticus SU-1	4409
Anig_HBR18	CBWZ	Aspergillus niger HBR18	5152
