#name	prefix	organism	contigs
Psol_RS1	JYNM02	Penicillium solitum	7
Proq_JCM_22842	BCID01	Penicillium roqueforti	16
Pchr_P2niaD18	JMSF01	Penicillium chrysogenum	18
Pcit_JCM_22607	BCKA01	Penicillium citrinum	50
Pexp_YT02	JARG01	Penicillium expansum YT02	52
Pcap_LiaoWQ_2011	JPLR01	Penicillium capsulatum	62
Pcap_ATCC_48735	JPLQ01	Penicillium capsulatum	65
Ppol_IBT_4502	MDYM01	Penicillium polonicum	75
Pste_IBT_24891	MLKD01	Penicillium steckii	84
Pbra	CDHK01	Penicillium brasilianum	87
Pcop_IBT_31321	MDDG01	Penicillium coprophilum	91
Pgri_PG3	LHQR01	Penicillium griseofulvum	92
Psp_HKF2	MUXA01	Penicillium sp. HKF2	94
Pchr	MWKT01	Penicillium chrysogenum	143
Pbra_LaBioMMi_136	LJBN01	Penicillium brasilianum	248
Pfla_IBT_14082	MLQL01	Penicillium flavigenum	260
Poxa_HP7_1	JRVD01	Penicillium oxalicum	263
Pexp_d1	JQFY01	Penicillium expansum	270
Pchr_NCPC10086	APKG01	Penicillium chrysogenum NCPC10086	327
Poxa_114_2	AGIH01	Penicillium oxalicum 114-2	345
Pdig_PHI26	AKCT01	Penicillium digitatum PHI26	356
Pexp_MD_8	JQFZ01	Penicillium expansum	382
Pari_CBS_141311	LXJU01	Penicillium arizonense	396
Ppan_FM227	CBXN01	Penicillium paneum FM227	397
Pdec_IBT_11843	MDYL01	Penicillium decumbens	403
Proq_UASWS_P1	JNNS01	Penicillium roqueforti	428 (1 is dead)
Proq_FM164	CBMR01	Penicillium roqueforti FM164	457
Poxa_JU_A10_T	AGII01	Penicillium oxalicum JU-A10-T	482
Pexp_T01	AYHP01	Penicillium expansum T01	527
Pdig_Pd1	AKCU01	Penicillium digitatum Pd1	562
Pexp_R21	MJGF02	Penicillium expansum	573
Psol_IBT_29525	MDYO01	Penicillium solitum	598
Pita_GL_Gan1	LWEC01	Penicillium italicum	624
Ppax_ATCC_26601	AOTG01	Penicillium paxilli ATCC 26601	635
Pvul_IBT_29486	MDYP01	Penicillium vulpinum	660
Pbif_FM169	CBXO01	Penicillium biforme FM169	692
Pant_IBT_31811	MDYN01	Penicillium antarcticum	700
Pscl_113	MJCA01	Penicillium sclerotiorum	737
Psub_CBS_132785	MNBE01	Penicillium subrubescens	776
Pdig_PDC_102	LHSL01	Penicillium digitatum PDC 102	883
Pnor_UASWS_BFE487	JNNR01	Penicillium nordicum	915 (1 is dead)
Pcam_FM_013	CBVV01	Penicillium camemberti FM 013	936
Psol_NJ1	MJCB01	Penicillium solitum	954
Pnal_FM193	CBXQ01	Penicillium nalgiovense FM193	975 (1 is dead)
Pcit_DSM_1997	LKUP01	Penicillium citrinum	976
Pnor_DAOMC_185683	LHQQ01	Penicillium nordicum	996
Pfus_FM041	CBXP01	Penicillium fuscoglaucum FM041	1131
Pchr_IB_08	JPDR01	Penicillium chrysogenum	1151
Proq_CECT_2905	MSQC01	Penicillium roqueforti	1168
Pita_B3	JMDK01	Penicillium italicum	1186
Pexp_R19	JHUC01	Penicillium expansum	1231
Pchr_KF_25	AZRB01	Penicillium chrysogenum KF-25	1577
Pocc_CL100	NPFK01	Penicillium occitanis	1591
Pita_PHI_1	JQGA01	Penicillium italicum	1632
Pocc_CT1	NPFJ01	Penicillium occitanis	1650
Pgri_MRI314	LWCZ01	Penicillium griseofulvum	1656
Pexp_CMP_1	JQFX01	Penicillium expansum	1723
Pjan_NCIM1366	NPFE01	Penicillium janthinellum	1773
Pdig_Pd01_ZJU	ANGJ01	Penicillium digitatum Pd01-ZJU	1816
Pfre_DAOM_242723	LLXE01	Penicillium freii	1923
Pnal_IBT_13039	MOOB01	Penicillium nalgiovense	1956
Psp_CF05	PKQL01	Penicillium sp. CF05	2289
Pver_BFE808	LAKW01	Penicillium verrucosum	4207
Pexp_NRRL_62431	ALJY01	Penicillium expansum NRRL 62431	4775
Pcar_LCP05634	CBXS01	Penicillium carneum LCP05634	7894
