chr,begin,end
chr1,2.717,3.591
chr1,3.591,3.786
chr1,3.786,5.985
chr1,8.023,9.227
chr1,9.227,9.523
chr1,9.523,9.938
chr1,9.938,11.257
chr1,11.932,13.746
chr1,31.435,32.151
chr1,35.327,35.913
chr1,38.141,39.126
chr1,39.126,40.035
chr1,45.932,46.349
chr1,51.792,52.234
chr1,52.234,52.889
chr1,54.586,55.395
chr1,55.395,56.758
chr1,56.758,57.609
chr1,57.609,58.886
chr1,58.886,59.467
chr1,59.467,61.261
chr1,61.261,61.912
chr1,62.955,63.506
chr1,64.632,65.247
chr1,68.4,70.538
chr1,70.538,71.26
chr1,71.26,72.457
chr1,72.457,74.375
chr1,74.375,75.89
chr1,75.89,77.946
chr1,81.977,84.176
chr1,87.094,88.866
chr1,88.866,89.998
chr1,95.276,96.898
chr1,96.898,98.106
chr1,98.106,100.028
chr1,101.323,103.779
chr1,111.875,112.651
chr1,113.645,114.183
chr1,114.183,115.014
chr1,148.836,150.515
chr1,151.009,151.757
chr1,153.833,154.767
chr1,154.767,157.162
chr1,157.162,157.913
chr1,162.47,163.922
chr1,164.843,166.187
chr1,166.774,168.184
chr1,172.912,174.748
chr1,174.748,175.424
chr1,175.932,176.584
chr1,177.334,177.807
chr1,177.807,179.497
chr1,181.743,183.079
chr1,201.921,202.518
chr1,204.431,206.386
chr1,211.114,213.692
chr1,213.692,214.199
chr1,214.199,214.848
chr1,216.816,219.159
chr1,220.93,222.149
chr1,222.904,223.276
chr1,223.276,223.814
chr1,226.07,226.492
chr1,227.971,229.073
chr1,229.073,229.772
chr1,229.772,231.817
chr1,235.867,236.556
chr1,236.556,238.338
chr1,238.338,239.745
chr1,239.745,240.343
chr1,240.343,241.412
chr1,241.412,243.055
chr1,243.055,243.421
chr2,0.937,1.723
chr2,1.723,3.106
chr2,3.106,4.921
chr2,5.783,7.003
chr2,7.003,9.11
chr2,10.789,11.561
chr2,15.665,17.963
chr2,20.475,20.944
chr2,20.944,23.519
chr2,23.519,24.06
chr2,24.06,24.497
chr2,28.886,30.579
chr2,30.579,32.192
chr2,42.306,42.707
chr2,42.707,43.734
chr2,48.453,51.171
chr2,54.109,54.595
chr2,55.832,58.178
chr2,65.573,66.572
chr2,66.572,68.392
chr2,71.407,72.968
chr2,84.597,85.112
chr2,105.819,106.277
chr2,111.148,112.363
chr2,121.208,122.121
chr2,134.708,135.311
chr2,136.576,139.096
chr2,152.076,153.016
chr2,157.112,158.559
chr2,158.559,159.138
chr2,159.138,159.65
chr2,161.175,161.836
chr2,161.836,164.42
chr2,169.085,170.091
chr2,175.872,176.693
chr2,176.951,177.895
chr2,177.895,178.803
chr2,180.699,181.671
chr2,181.671,182.361
chr2,183.73,184.646
chr2,187.178,188.979
chr2,200.147,200.541
chr2,204.23,205.238
chr2,205.238,206.844
chr2,208.949,210.913
chr2,215.977,216.803
chr2,222.265,222.986
chr2,223.551,224.641
chr2,224.641,225.27
chr2,225.27,227.484
chr2,227.856,230.613
chr2,230.613,231.384
chr2,231.384,231.726
chr2,234.06,235.644
chr2,235.644,236.186
chr3,0.196,2.112
chr3,2.112,4.492
chr3,15.884,16.533
chr3,17.758,18.46
chr3,23.219,23.822
chr3,23.822,24.537
chr3,24.537,25.799
chr3,25.799,27.503
chr3,37.192,38.157
chr3,40.47,41.198
chr3,41.99,42.609
chr3,43.706,43.988
chr3,43.988,44.249
chr3,44.249,44.571
chr3,50.63,51.523
chr3,53.901,56.479
chr3,66.636,67.788
chr3,67.788,69.216
chr3,69.867,71.712
chr3,71.712,72.98
chr3,72.98,73.747
chr3,73.747,74.745
chr3,74.745,75.92
chr3,79.924,81.888
chr3,98.021,98.968
chr3,98.968,99.934
chr3,99.934,101.022
chr3,101.022,101.461
chr3,107.073,108.724
chr3,109.79,110.54
chr3,110.54,112.271
chr3,112.271,113.048
chr3,114.949,116.355
chr3,129.344,129.911
chr3,129.911,130.385
