#Chr,Start,End,Direct,Length,Sample,Type,Share_depth,Share_start,Share_end
1,6996238,6996467,ler_hete,230,Sample_14,20-2000bp,2,6996238,6996467
1,7337671,7337796,ler_hete,126,Sample_14,20-2000bp,8,7337671,7337796
1,7540457,7540587,ler_hete,131,Sample_14,20-2000bp,1,7540457,7540587
1,7619798,7620014,ler_hete,217,Sample_14,20-2000bp,8,7619798,7620014
1,7981683,7982227,ler_hete,545,Sample_14,20-2000bp,4,7981683,7982917
1,8308405,8308510,ler_hete,106,Sample_14,20-2000bp,11,8308405,8308545
1,8352231,8352349,ler_hete,119,Sample_14,20-2000bp,10,8351184,8352355
1,8496659,8496712,ler_hete,54,Sample_14,20-2000bp,1,8496659,8496712
1,8548504,8548952,ler_hete,449,Sample_14,20-2000bp,9,8548504,8548952
1,9347754,9347797,ler_hete,44,Sample_14,20-2000bp,2,9347754,9347797
1,9986641,9987512,ler_hete,872,Sample_14,20-2000bp,7,9986641,9987512
1,10129714,10130997,ler_hete,1284,Sample_14,20-2000bp,3,10129714,10130997
1,10512433,10512573,ler_hete,141,Sample_14,20-2000bp,4,10512433,10512573
1,10571178,10571372,ler_hete,195,Sample_14,20-2000bp,5,10571178,10571372
1,10575231,10575973,ler_hete,743,Sample_14,20-2000bp,5,10575231,10575973
1,10850060,10850554,ler_hete,495,Sample_14,20-2000bp,8,10850060,10850738
1,11044895,11045632,ler_hete,738,Sample_14,20-2000bp,5,11044895,11046369
1,11823853,11824020,ler_hete,168,Sample_14,20-2000bp,2,11823853,11824020
1,11961206,11961355,ler_hete,150,Sample_14,20-2000bp,1,11961206,11961355
1,11961576,11961733,ler_hete,158,Sample_14,20-2000bp,1,11961576,11961733
1,12039443,12039658,ler_hete,216,Sample_14,20-2000bp,5,12039443,12039658
1,12472379,12472408,ler_hete,30,Sample_14,20-2000bp,4,12472379,12472408
1,12514848,12515012,ler_hete,165,Sample_14,20-2000bp,8,12514848,12515012
1,12597595,12599447,ler_hete,1853,Sample_14,20-2000bp,9,12597155,12601360
1,12601318,12601360,ler_hete,43,Sample_14,20-2000bp,5,12597155,12601360
1,12603240,12603785,ler_hete,546,Sample_14,20-2000bp,1,12603240,12603785
1,12956077,12956469,ler_hete,393,Sample_14,20-2000bp,8,12956077,12956469
1,13112206,13113467,ler_hete,1262,Sample_14,20-2000bp,1,13112206,13113467
1,13351267,13351377,ler_hete,111,Sample_14,20-2000bp,2,13351267,13351377
1,23342428,23342968,col_hete,541,Sample_14,20-2000bp,1,23342428,23342968
1,23459403,23459647,col_hete,245,Sample_14,20-2000bp,6,23459403,23459647
1,23710356,23710381,col_hete,26,Sample_14,20-2000bp,3,23710356,23710381
1,24351917,24352055,col_hete,139,Sample_14,20-2000bp,1,24351917,24352055
1,24554405,24555127,col_hete,723,Sample_14,20-2000bp,16,24553485,24555127
1,25976699,25976791,col_hete,93,Sample_14,20-2000bp,7,25976699,25976791
1,26370504,26371395,col_hete,892,Sample_14,20-2000bp,10,26367855,26371395
1,28993890,28994182,col_hete,293,Sample_14,20-2000bp,9,28993890,28994182
2,534388,535308,col_hete,921,Sample_14,20-2000bp,10,534388,535308
2,585667,587226,col_hete,1560,Sample_14,20-2000bp,7,585667,587226
2,676936,677060,col_hete,125,Sample_14,20-2000bp,3,676936,677252
2,931461,931750,col_hete,290,Sample_14,20-2000bp,6,931461,933208
2,1126919,1127319,col_hete,401,Sample_14,20-2000bp,9,1126919,1127319
2,1391586,1393519,col_hete,1934,Sample_14,20-2000bp,10,1391586,1393519
2,1643106,1643940,col_hete,835,Sample_14,20-2000bp,9,1643106,1643940
2,1691250,1691563,col_hete,314,Sample_14,20-2000bp,9,1691250,1692375
2,1740799,1741278,col_hete,480,Sample_14,20-2000bp,6,1740799,1741278
2,1778754,1779208,col_hete,455,Sample_14,20-2000bp,10,1777876,1779208
2,1840318,1840938,col_hete,621,Sample_14,20-2000bp,9,1840318,1841004
2,2251804,2253408,col_hete,1605,Sample_14,20-2000bp,9,2251804,2253408
2,2970823,2970846,col_hete,24,Sample_14,20-2000bp,1,2970823,2970846
2,3034705,3034943,col_hete,239,Sample_14,20-2000bp,10,3034705,3034943
2,3037888,3038077,col_hete,190,Sample_14,20-2000bp,10,3037888,3038286
2,3039492,3039591,col_hete,100,Sample_14,20-2000bp,8,3039492,3039591
2,3042225,3042553,col_hete,329,Sample_14,20-2000bp,13,3042225,3042903
2,3042843,3042903,col_hete,61,Sample_14,20-2000bp,10,3042225,3042903
2,3044504,3044715,col_hete,212,Sample_14,20-2000bp,5,3044504,3044715
2,3234444,3235029,col_hete,586,Sample_14,20-2000bp,5,3234444,3235029
2,3726458,3726895,col_hete,438,Sample_14,20-2000bp,9,3726458,3726895
2,3727097,3727669,col_hete,573,Sample_14,20-2000bp,8,3727097,3727669
2,3910796,3911153,col_hete,358,Sample_14,20-2000bp,5,3907968,3911153
2,3916134,3916666,col_hete,533,Sample_14,20-2000bp,2,3916134,3918164
2,3998150,3998221,col_hete,72,Sample_14,20-2000bp,2,3998150,3998221
2,4005000,4005066,col_hete,67,Sample_14,20-2000bp,8,4005000,4005066
2,4603919,4604032,col_hete,114,Sample_14,20-2000bp,9,4603919,4604032
2,4685110,4685433,col_hete,324,Sample_14,20-2000bp,11,4685110,4685433
2,4704103,4704217,col_hete,115,Sample_14,20-2000bp,10,4704103,4706451
2,4704274,4705520,col_hete,1247,Sample_14,20-2000bp,12,4704103,4706451
2,4705853,4706451,col_hete,599,Sample_14,20-2000bp,10,4704103,4706451
2,4741882,4742031,col_hete,150,Sample_14,20-2000bp,8,4741882,4742031
2,4761299,4763013,col_hete,1715,Sample_14,20-2000bp,7,4761299,4764700
2,5406551,5406905,col_hete,355,Sample_14,20-2000bp,2,5406551,5406905
2,5411178,5411500,col_hete,323,Sample_14,20-2000bp,8,5411178,5413495
2,5411861,5412178,col_hete,318,Sample_14,20-2000bp,10,5411178,5415689
2,5449627,5450065,col_hete,439,Sample_14,20-2000bp,8,5449430,5450065
2,5880251,5880304,col_hete,54,Sample_14,20-2000bp,7,5880251,5880304
2,5880791,5880833,col_hete,43,Sample_14,20-2000bp,8,5880728,5880833
2,5902733,5903083,col_hete,351,Sample_14,20-2000bp,10,5902733,5903083
2,5903175,5903403,col_hete,229,Sample_14,20-2000bp,10,5903175,5903427
2,6096935,6097022,col_hete,88,Sample_14,20-2000bp,7,6096935,6097272
2,6110959,6111760,col_hete,802,Sample_14,20-2000bp,8,6110959,6111760
2,6129247,6129925,col_hete,679,Sample_14,20-2000bp,5,6126775,6129925
2,6262410,6262602,col_hete,193,Sample_14,20-2000bp,15,6262410,6262602
2,6294605,6295021,col_hete,417,Sample_14,20-2000bp,12,6294605,6295672
2,6579854,6581733,col_hete,1880,Sample_14,20-2000bp,11,6579854,6583316
2,6581901,6583078,col_hete,1178,Sample_14,20-2000bp,11,6579854,6583316
2,7242590,7242622,col_hete,33,Sample_14,20-2000bp,15,7242255,7242622
2,8480117,8480367,col_hete,251,Sample_14,20-2000bp,10,8479970,8480367
2,8621781,8622522,col_hete,742,Sample_14,20-2000bp,10,8621781,8622522
2,8869784,8869845,col_hete,62,Sample_14,20-2000bp,13,8869588,8869845
3,1848997,1849258,col_hete,262,Sample_14,20-2000bp,7,1848997,1849258
4,248836,248983,ler_hete,148,Sample_14,20-2000bp,1,248836,248983
4,672721,672740,ler_hete,20,Sample_14,20-2000bp,6,672721,672740
4,677319,678555,ler_hete,1237,Sample_14,20-2000bp,3,677319,678555
4,930021,930120,ler_hete,100,Sample_14,20-2000bp,5,930021,930120
4,1230087,1230427,ler_hete,341,Sample_14,20-2000bp,2,1230087,1230427
4,1277155,1277329,ler_hete,175,Sample_14,20-2000bp,12,1277155,1277329
4,1289137,1289498,ler_hete,362,Sample_14,20-2000bp,10,1289137,1289536
4,1357709,1357748,ler_hete,40,Sample_14,20-2000bp,1,1357709,1357748
4,1861861,1861905,ler_hete,45,Sample_14,20-2000bp,1,1861861,1861905
4,1986894,1988339,ler_hete,1446,Sample_14,20-2000bp,3,1986894,1988339
4,2177521,2178003,ler_hete,483,Sample_14,20-2000bp,11,2177521,2178003
4,2450178,2450340,ler_hete,163,Sample_14,20-2000bp,2,2450178,2450340
4,2616989,2617154,ler_hete,166,Sample_14,20-2000bp,5,2616989,2617154
4,3451990,3452225,ler_hete,236,Sample_14,20-2000bp,6,3451990,3452484
4,4189222,4190435,ler_hete,1214,Sample_14,20-2000bp,18,4189222,4190435
4,4641048,4641682,ler_hete,635,Sample_14,20-2000bp,7,4638124,4642029
4,4672680,4674242,ler_hete,1563,Sample_14,20-2000bp,7,4672680,4674242
4,4805783,4806100,ler_hete,318,Sample_14,20-2000bp,7,4805783,4806100
4,5547532,5548129,ler_hete,598,Sample_14,20-2000bp,13,5547532,5548129
4,5721063,5721095,ler_hete,33,Sample_14,20-2000bp,2,5721063,5721095
4,6258920,6260352,ler_hete,1433,Sample_14,20-2000bp,4,6258920,6260352
4,6346312,6346445,ler_hete,134,Sample_14,20-2000bp,1,6346312,6346445
4,6662478,6662754,ler_hete,277,Sample_14,20-2000bp,2,6662455,6662754
4,7418120,7418901,ler_hete,782,Sample_14,20-2000bp,6,7418120,7418901
4,7480668,7480789,ler_hete,122,Sample_14,20-2000bp,4,7480668,7480789
4,7822782,7822825,ler_hete,44,Sample_14,20-2000bp,1,7822782,7822825
4,7952816,7952983,ler_hete,168,Sample_14,20-2000bp,8,7952816,7952983
4,8006377,8006952,ler_hete,576,Sample_14,20-2000bp,8,8006213,8006952
4,8569555,8570007,ler_hete,453,Sample_14,20-2000bp,9,8569555,8570007
4,9384708,9384753,ler_hete,46,Sample_14,20-2000bp,5,9384708,9384756
4,9414652,9414861,ler_hete,210,Sample_14,20-2000bp,3,9414652,9414861
4,9844133,9844732,ler_hete,600,Sample_14,20-2000bp,6,9844133,9844732
4,9954299,9955649,ler_hete,1351,Sample_14,20-2000bp,6,9954299,9957979
4,10483168,10483195,ler_hete,28,Sample_14,20-2000bp,1,10483168,10483195
4,10620522,10620568,ler_hete,47,Sample_14,20-2000bp,1,10620522,10620568
4,10620876,10620949,ler_hete,74,Sample_14,20-2000bp,1,10620876,10620949
5,18446945,18446976,ler_hete,32,Sample_14,20-2000bp,1,18446945,18446976
5,18736691,18736766,ler_hete,76,Sample_14,20-2000bp,8,18735684,18736907
5,19572706,19572728,ler_hete,23,Sample_14,20-2000bp,1,19572706,19572728
5,20658085,20658704,ler_hete,620,Sample_14,20-2000bp,4,20658085,20658704
5,20899074,20899588,ler_hete,515,Sample_14,20-2000bp,8,20899074,20900354
