chr	first	last	type
chr01	57157	61585	total
chr01	67478	72952	total
chr01	128758	132930	total
chr01	169201	169416	total
chr01	190184	191811	total
chr02	69227	72014	total
chr02	181429	182130	total
chr02	490625	490683	total
chr02	650407	650964	total
chr02	735228	738009	total
chr02	739982	740821	total
chr03	51120	53890	total
chr03	57858	62385	total
chr03	68351	68851	total
chr03	102820	103954	total
chr03	105665	106307	total
chr03	208567	215015	total
chr03	216039	216395	total
chr03	240919	241121	total
chr04	174548	174995	total
chr04	198661	199393	total
chr04	303052	305598	total
chr04	521774	526554	total
chr04	551586	551840	total
chr04	634897	637207	total
chr04	835317	836352	total
chr04	845957	848132	total
chr04	930523	931008	total
chr04	1265344	1267092	total
chr04	1409461	1411230	total
chr04	1419509	1419768	total
chr04	1477498	1479394	total
chr05	26021	28621	total
chr05	41433	42489	total
chr05	193011	196104	total
chr05	222207	223616	total
chr05	334784	337667	total
chr05	460004	462456	total
chr05	525071	526633	total
chr06	55864	56852	total
chr06	64249	65799	total
chr06	73334	76439	total
chr06	94155	96499	total
chr06	221517	226916	total
chr07	22310	24524	total
chr07	41269	42018	total
chr07	273135	273352	total
chr07	397332	397485	total
chr07	448122	449529	total
chr07	452302	452800	total
chr07	471177	473506	total
chr07	608834	612762	total
chr07	676880	678292	total
chr07	801952	802064	total
chr07	1010462	1012074	total
chr08	49556	49814	total
chr08	66698	69668	total
chr08	73283	75635	total
chr08	141879	145247	total
chr08	185760	189135	total
chr08	341492	342159	total
chr08	421697	424150	total
chr08	482777	485699	total
chr08	515105	518403	total
chr09	51898	57062	total
chr09	149534	149974	total
chr09	177964	179394	total
chr09	421488	424601	total
chr10	35036	37924	total
chr10	79092	80052	total
chr10	159074	160669	total
chr10	236078	237983	total
chr10	278076	278509	total
chr10	359273	363081	total
chr10	391253	391901	total
chr10	464246	468595	total
chr10	571570	574065	total
chr10	576545	580050	total
chr10	636802	638723	total
chr10	684040	684062	total
chr11	39129	39899	total
chr11	67864	70682	total
chr11	225752	226302	total
chr11	380898	381363	total
chr11	401143	403390	total
chr11	523535	528999	total
chr11	578769	578821	total
chr11	606914	608481	total
chr12	86369	87284	total
chr12	98056	98307	total
chr12	127972	129762	total
chr12	252878	254321	total
chr12	281291	282741	total
chr12	327516	330832	total
chr12	340121	342533	total
chr12	415539	417755	total
chr12	512181	515724	total
chr12	609944	613012	total
chr12	702588	702789	total
chr12	836983	837469	total
chr12	870633	871823	total
chr12	1010017	1014013	total
chr13	25640	27947	total
chr13	169766	170784	total
chr13	346482	347794	total
chr13	387573	390007	total
chr13	409643	410658	total
chr13	500788	501141	total
chr13	557358	557383	total
