#name	prefix	organism	contigs
Spas_CBS_1513	AZCJ01	Saccharomyces pastorianus CBS 1513	77
Ssp_ATCC_MYA_796	JRHY01	Saccharomyces sp. 'boulardii'	193
Ssp_EDRL	ATCS02	Saccharomyces sp. EDRL	194
Sarb_H_6	ALIE01	Saccharomyces arboricola H-6	219
Ssp_17	JPJH02	Saccharomyces sp. 'boulardii'	442
Sbay_623_6C	AACG02	Saccharomyces bayanus 623-6C	586
Spar_NRRL_Y_17217	AABY01	Saccharomyces paradoxus NRRL Y-17217	832
Spas_CBS_1483	JTFI01	Saccharomyces pastorianus	878
Suva_MCYC_623	AACA01	Saccharomyces uvarum MCYC 623	1098
Spas_Weihenstephan_34_70	AZAA01	Saccharomyces pastorianus Weihenstephan 34/70	1358
Smik_IFO_1815	AABZ01	Saccharomyces mikatae IFO 1815	1648
Skud_IFO_1802	AACI03	Saccharomyces kudriavzevii IFO 1802	2055
Spas_CCY48_91	ALJS01	Saccharomyces pastorianus CCY48 - 91	2425
#Smik_IFO_1815	AACH01	Saccharomyces mikatae IFO 1815	2808 #same strain and taxon_id
Skud_ZP591	AJIH01	Saccharomyces kudriavzevii ZP591	3127
#Spas_Weihenstephan_34_70	ABPO01	Saccharomyces pastorianus Weihenstephan 34/70	3566 #same strain and taxon_id
Suva_A9	JNVO01	Saccharomyces uvarum	3985
#Skud_IFO1803	AJIG01	Saccharomyces kudriavzevii IFO1803	10183
#Skud_FM1094	AJID01	Saccharomyces kudriavzevii FM1094	10490
#Skud_FM1066	AJHS01	Saccharomyces kudriavzevii FM1066	10836
#Skud_FM1056	AJHP01	Saccharomyces kudriavzevii FM1056	11180
#Skud_IFO10990	AJIE01	Saccharomyces kudriavzevii IFO10990	12218
#Skud_FM1062	AJHR01	Saccharomyces kudriavzevii FM1062	12499
#Skud_IFO10991	AJIF01	Saccharomyces kudriavzevii IFO10991	13292
#Skud_FM1057	AJHQ01	Saccharomyces kudriavzevii FM1057	13804
#Skud_FM1073	AJHW01	Saccharomyces kudriavzevii FM1073	14162
#Skud_FM1075	AJHY01	Saccharomyces kudriavzevii FM1075	14397
#Skud_FM1072	AJHV01	Saccharomyces kudriavzevii FM1072	14409
#Skud_FM1076	AJHZ01	Saccharomyces kudriavzevii FM1076	15032
#Skud_FM1069	AJHT01	Saccharomyces kudriavzevii FM1069	15145
#Skud_FM1074	AJHX01	Saccharomyces kudriavzevii FM1074	15433
#Skud_FM1077	AJIA01	Saccharomyces kudriavzevii FM1077	15752
#Skud_FM1078	AJIB01	Saccharomyces kudriavzevii FM1078	16131
#Skud_FM1079	AJIC01	Saccharomyces kudriavzevii FM1079	16253
#Skud_FM1071	AJHU01	Saccharomyces kudriavzevii FM1071	16822
